#EBay Item Number,Date,Title,Price,Currency,URL
224103924884,"Aug 08, 2020 10:09:15 PDT","Zion Williamson Prizm Silver Rookie BGS 9.5 NBA Future Star , Invest Now","$2,600.00",US,https://www.ebay.com/itm/2019-Zion-Williamson-Prizm-Silver-Rookie-BGS-9-5-NBA-Future-Star-Invest-Now/224103924884?hash=item342da28494:g:qREAAOSwGm5fJ4gu
402345676653,"Aug 07, 2020 18:10:20 PDT",Panini Prizm Silver Zion Williamson ROOKIE RC BGS 9.5 GEM MT ? Invest,"$1,925.00",US,https://www.ebay.com/itm/2019-Panini-Prizm-Silver-Zion-Williamson-ROOKIE-RC-BGS-9-5-GEM-MT-PSA-10-Invest/402345676653?hash=item5dadabcf6d:g:~D8AAOSwdQpfJJfV
274447627450,"Aug 07, 2020 16:46:06 PDT",PANINI PRIZM ZION WILLIAMSON SILVER PRIZM BGS 9.5 TRUE GEM ?,"$2,300.00",US,https://www.ebay.com/itm/2019-20-PANINI-PRIZM-ZION-WILLIAMSON-SILVER-PRIZM-BGS-9-5-TRUE-GEM-PSA-10/274447627450?hash=item3fe65a74ba:g:5FcAAOSwcT5fJ0~d
174373258402,"Aug 07, 2020 14:21:57 PDT",Panini Prizm Silver #248 Zion Williamson RC Rookie Gem Mint BGS 9.5,"$1,925.00",US,https://www.ebay.com/itm/2019-Panini-Prizm-Silver-248-Zion-Williamson-RC-Rookie-Gem-Mint-BGS-9-5/174373258402?hash=item289974c4a2:g:DuAAAOSwN7FfJIn4
303578618776,"Aug 06, 2020 20:49:42 PDT",Panini Prizm ZION WILLIAMSON RC #248 Silver Prizm BGS 9.5 Gem Mint ?,"$2,850.00",US,https://www.ebay.com/itm/2019-20-Panini-Prizm-ZION-WILLIAMSON-RC-248-Silver-Prizm-BGS-9-5-Gem-Mint-PSA/303578618776?hash=item46aeb21b98:g:5X0AAOSwXK9euj9f
353159769529,"Aug 06, 2020 19:20:08 PDT",Panini Prizm Zion Williamson SILVER 248 BGS 9.5 Gem Mint Rookie Card RC,"$2,050.00",US,https://www.ebay.com/itm/2019-20-Panini-Prizm-Zion-Williamson-SILVER-248-BGS-9-5-Gem-Mint-Rookie-Card-RC/353159769529?hash=item5239f66db9:g:uCYAAOSw94JfKMV5
274444547957,"Aug 06, 2020 18:06:22 PDT",Panini Prizm SILVER Prizms ZION WILLIAMSON ROOKIE BGS 9.5 GEM MINT SILVER!!,"$2,145.00",US,https://www.ebay.com/itm/2019-Panini-Prizm-SILVER-Prizms-ZION-WILLIAMSON-ROOKIE-BGS-9-5-GEM-MINT-SILVER/274444547957?hash=item3fe62b7775:g:CtcAAOSwoOZfI23r
313073061281,"Aug 06, 2020 11:20:26 PDT",Prizm DP Silver #1 Zion Williamson RC  BGS GEM MINT 9.5  #0011863171,$239.78,US,https://www.ebay.com/itm/2019-20-Prizm-DP-Silver-1-Zion-Williamson-RC-BGS-GEM-MINT-9-5-0011863171/313073061281?hash=item48e49bcda1:g:JMYAAOSw1N1esJ5r
143673167474,"Aug 05, 2020 18:59:16 PDT",Panini Prizm Base And Silver #248 Zion Williamson RC Rookie BGS 9.5 2X Lot,"$2,600.00",US,https://www.ebay.com/itm/2019-Panini-Prizm-Base-And-Silver-248-Zion-Williamson-RC-Rookie-BGS-9-5-2X-Lot/143673167474?hash=item2173968e72:g:FeEAAOSwhHVfKLm~
274448597278,"Aug 05, 2020 12:05:14 PDT",Silver Prizm #248 Zion Williamson RC Rookie  9 MINT  BGS 9.5 Resub?,"$1,700.00",US,https://www.ebay.com/itm/2019-Silver-Prizm-248-Zion-Williamson-RC-Rookie-PSA-9-MINT-PSA10-BGS-9-5-Resub/274448597278?hash=item3fe669411e:g:wr4AAOSwRlBfKDJm
133481758369,"Aug 05, 2020 09:42:10 PDT",Panini Optic Zion Williamson Rated Rookie Holo Silver Prizm BGS 9.5,"$1,500.00",US,https://www.ebay.com/itm/19-20-Panini-Optic-Zion-Williamson-Rated-Rookie-Holo-Silver-Prizm-BGS-9-5/133481758369?hash=item1f1421fea1:g:ZOEAAOSwFJ1fJfnQ
363059618903,"Aug 03, 2020 20:59:01 PDT",Panini Silver Prizm #248 Zion Williamson RC Rookie BGS 9.5 GEM MINT,"$2,075.00",US,https://www.ebay.com/itm/2019-20-Panini-Silver-Prizm-248-Zion-Williamson-RC-Rookie-BGS-9-5-GEM-MINT/363059618903?hash=item54880a2457:g:ucMAAOSwGpxfHx8M
353152458360,"Aug 03, 2020 20:37:17 PDT",ZION WILLIAMSON PANINI PRIZM 1 RC LUCK LOTTERY SILVER PRIZMS BGS 9.5 GEM,$107.50,US,https://www.ebay.com/itm/ZION-WILLIAMSON-2019-20-PANINI-PRIZM-1-RC-LUCK-LOTTERY-SILVER-PRIZMS-BGS-9-5-GEM/353152458360?hash=item523986de78:g:1OcAAOSwrMdfH38o
114329275528,"Aug 03, 2020 19:35:53 PDT",ZION WILLIAMSON SILVER PRIZM ROOKIE BGS 9 CLEAN .5 AWAY GEM MINT 9.5,"$1,100.00",US,https://www.ebay.com/itm/2019-20-ZION-WILLIAMSON-SILVER-PRIZM-ROOKIE-BGS-9-CLEAN-5-AWAY-GEM-MINT-9-5/114329275528?hash=item1a9e8e4c88:g:ymsAAOSwHNVfIjFQ
154028674017,"Aug 03, 2020 16:57:18 PDT",Panini Prizm ZION WILLIAMSON SILVER ROOKIE #248 BGS 9.5 GEM MINT RC,"$1,876.00",US,https://www.ebay.com/itm/2019-20-Panini-Prizm-ZION-WILLIAMSON-SILVER-ROOKIE-248-BGS-9-5-GEM-MINT-RC/154028674017?hash=item23dcd30be1:g:Z28AAOSwQdJfH1Om
402348128851,"Aug 03, 2020 05:15:04 PDT",ZION WILLIAMSON SILVER PRIZM ROOKIE BGS 9 w 3X GEM MINT 9.5 =,"$1,500.00",US,https://www.ebay.com/itm/2019-20-ZION-WILLIAMSON-SILVER-PRIZM-ROOKIE-BGS-9-w-3X-GEM-MINT-9-5-PSA/402348128851?hash=item5dadd13a53:g:8OsAAOSwjiNfFgoG
